🇨🇳央视(电信),#genre#
内蒙古卫视,http://10.0.0.1:1234/rtp/238.255.2.53:5999
内蒙古卫视,http://10.0.0.1:1234/rtp/238.255.3.185:5999
内蒙古卫视,http://10.0.0.1:1234/rtp/238.255.3.49:5999
黑龙江卫视,http://10.0.0.1:1234/rtp/238.255.0.123:4336
黑龙江卫视,http://10.0.0.1:1234/rtp/238.255.2.96:5999
黑龙江卫视,http://10.0.0.1:1234/rtp/238.255.3.171:5999
黑龙江卫视,http://10.0.0.1:1234/rtp/238.255.3.80:5999

🏀体育(电信),#genre#
汽摩频道,http://10.0.0.1:1234/rtp/238.255.2.148:5999
汽摩频道,http://10.0.0.1:1234/rtp/238.255.3.63:5999
新视觉,http://10.0.0.1:1234/rtp/238.255.2.195:5999
游戏风云,http://10.0.0.1:1234/rtp/238.255.2.197:5999
游戏风云,http://10.0.0.1:1234/rtp/238.255.0.36:9024
BesTV体育,http://10.0.0.1:1234/rtp/238.255.3.25:5999
睛彩竞技,http://10.0.0.1:1234/rtp/238.255.3.31:5999


👶卡通(电信),#genre#
动漫秀场,http://10.0.0.1:1234/rtp/238.255.0.30:8976
动漫秀场,http://10.0.0.1:1234/rtp/238.255.2.196:5999
哈哈炫动,http://10.0.0.1:1234/rtp/238.255.2.56:5999
哈哈炫动,http://10.0.0.1:1234/rtp/238.255.3.194:5999
嘉佳卡通,http://10.0.0.1:1234/rtp/238.255.2.62:5999
嘉佳卡通,http://10.0.0.1:1234/rtp/238.255.3.196:5999
嘉佳卡通,http://10.0.0.1:1234/rtp/238.255.3.62:5999
金鹰卡通,http://10.0.0.1:1234/rtp/238.255.2.55:5999
金鹰卡通,http://10.0.0.1:1234/rtp/238.255.3.193:5999
金鹰卡通,http://10.0.0.1:1234/rtp/238.255.3.193:5999
金鹰卡通,http://10.0.0.1:1234/rtp/238.255.3.46:5999
卡酷少儿,http://10.0.0.1:1234/rtp/238.255.2.80:5999
卡酷少儿,http://10.0.0.1:1234/rtp/238.255.3.225:5999
卡酷少儿,http://10.0.0.1:1234/rtp/238.255.3.45:5999
山东教育,http://10.0.0.1:1234/rtp/238.255.2.79:5999
山东教育,http://10.0.0.1:1234/rtp/238.255.3.226:5999
优漫卡通,http://10.0.0.1:1234/rtp/238.255.2.57:5999
优漫卡通,http://10.0.0.1:1234/rtp/238.255.2.57:5999
优漫卡通,http://10.0.0.1:1234/rtp/238.255.3.195:5999

🌺纪实(电信),#genre#
全纪实,http://10.0.0.1:1234/rtp/238.255.0.32:8992
全纪实,http://10.0.0.1:1234/rtp/238.255.2.188:5999
纪实人文,http://10.0.0.1:1234/rtp/238.255.2.106:5999
纪实人文,http://10.0.0.1:1234/rtp/238.255.0.45:8880
金鹰纪实,http://10.0.0.1:1234/rtp/238.255.2.108:5999
金鹰纪实,http://10.0.0.1:1234/rtp/238.255.0.150:9120
金鹰纪实,http://10.0.0.1:1234/rtp/238.255.3.245:5999
BTV科教,http://10.0.0.1:1234/rtp/238.255.2.107:5999
BTV科教,http://10.0.0.1:1234/rtp/238.255.2.107:5999
BTV科教,http://10.0.0.1:1234/rtp/238.255.3.244:5999
国学频道,http://10.0.0.1:1234/rtp/238.255.2.176:5999
国学频道,http://10.0.0.1:1234/rtp/238.255.3.59:5999
法治天地,http://10.0.0.1:1234/rtp/238.255.2.190:5999
法治天地,http://10.0.0.1:1234/rtp/238.255.0.33:9000
快乐垂钓,http://10.0.0.1:1234/rtp/238.255.2.191:5999
茶频道,http://10.0.0.1:1234/rtp/238.255.2.192:5999
环球奇观,http://10.0.0.1:1234/rtp/238.255.2.43:5999
环球奇观,http://10.0.0.1:1234/rtp/238.255.3.239:5999
中国交通,http://10.0.0.1:1234/rtp/238.255.2.220:5999
中国天气,http://10.0.0.1:1234/rtp/238.255.0.26:8944

🍀特色(电信),#genre#
欢笑剧场,http://10.0.0.1:1234/rtp/238.255.2.198:5999
欢笑剧场,http://10.0.0.1:1234/rtp/238.255.2.215:5999
都市剧场,http://10.0.0.1:1234/rtp/238.255.2.194:5999
都市剧场,http://10.0.0.1:1234/rtp/238.255.0.29:8968
中华特产,http://10.0.0.1:1234/rtp/238.255.2.141:5999
中华特产,http://10.0.0.1:1234/rtp/238.255.3.106:5999
生态环境,http://10.0.0.1:1234/rtp/238.255.2.142:5999
生态环境,http://10.0.0.1:1234/rtp/238.255.3.107:5999
生活时尚,http://10.0.0.1:1234/rtp/238.255.2.193:5999
生活时尚,http://10.0.0.1:1234/rtp/238.255.0.39:9048
天元围棋,http://10.0.0.1:1234/rtp/238.255.2.7:5999
天元围棋,http://10.0.0.1:1234/rtp/238.255.3.157:5999
金色学堂,http://10.0.0.1:1234/rtp/238.255.2.21:5999
